/Users/mac/Desktop/безіменна папка/IMG/center_2022_10_28_09_52_23_249.jpg, /Users/mac/Desktop/безіменна папка/IMG/left_2022_10_28_09_52_23_249.jpg, /Users/mac/Desktop/безіменна папка/IMG/right_2022_10_28_09_52_23_249.jpg, 0, 0, 0, 8.202303E-05
/Users/mac/Desktop/безіменна папка/IMG/center_2022_10_28_09_52_23_355.jpg, /Users/mac/Desktop/безіменна папка/IMG/left_2022_10_28_09_52_23_355.jpg, /Users/mac/Desktop/безіменна папка/IMG/right_2022_10_28_09_52_23_355.jpg, 0, 0, 0, 7.796617E-05
/Users/mac/Desktop/безіменна папка/IMG/center_2022_10_28_09_52_23_459.jpg, /Users/mac/Desktop/безіменна папка/IMG/left_2022_10_28_09_52_23_459.jpg, /Users/mac/Desktop/безіменна папка/IMG/right_2022_10_28_09_52_23_459.jpg, 0, 0, 0, 8.238333E-05
/Users/mac/Desktop/безіменна папка/IMG/center_2022_10_28_09_52_23_562.jpg, /Users/mac/Desktop/безіменна папка/IMG/left_2022_10_28_09_52_23_562.jpg, /Users/mac/Desktop/безіменна папка/IMG/right_2022_10_28_09_52_23_562.jpg, 0, 0, 0, 7.909116E-05
/Users/mac/Desktop/безіменна папка/IMG/center_2022_10_28_09_52_23_665.jpg, /Users/mac/Desktop/безіменна папка/IMG/left_2022_10_28_09_52_23_665.jpg, /Users/mac/Desktop/безіменна папка/IMG/right_2022_10_28_09_52_23_665.jpg, 0, 0, 0, 7.944929E-05
/Users/mac/Desktop/безіменна папка/IMG/center_2022_10_28_09_52_23_766.jpg, /Users/mac/Desktop/безіменна папка/IMG/left_2022_10_28_09_52_23_766.jpg, /Users/mac/Desktop/безіменна папка/IMG/right_2022_10_28_09_52_23_766.jpg, 0, 0, 0, 7.835055E-05
/Users/mac/Desktop/безіменна папка/IMG/center_2022_10_28_09_52_23_870.jpg, /Users/mac/Desktop/безіменна папка/IMG/left_2022_10_28_09_52_23_870.jpg, /Users/mac/Desktop/безіменна папка/IMG/right_2022_10_28_09_52_23_870.jpg, 0, 0, 0, 7.794057E-05
/Users/mac/Desktop/безіменна папка/IMG/center_2022_10_28_09_52_23_977.jpg, /Users/mac/Desktop/безіменна папка/IMG/left_2022_10_28_09_52_23_977.jpg, /Users/mac/Desktop/безіменна папка/IMG/right_2022_10_28_09_52_23_977.jpg, 0, 0, 0, 7.806085E-05
/Users/mac/Desktop/безіменна папка/IMG/center_2022_10_28_09_52_24_114.jpg, /Users/mac/Desktop/безіменна папка/IMG/left_2022_10_28_09_52_24_114.jpg, /Users/mac/Desktop/безіменна папка/IMG/right_2022_10_28_09_52_24_114.jpg, 0, 0, 0, 8.191536E-05
/Users/mac/Desktop/безіменна папка/IMG/center_2022_10_28_09_52_24_215.jpg, /Users/mac/Desktop/безіменна папка/IMG/left_2022_10_28_09_52_24_215.jpg, /Users/mac/Desktop/безіменна папка/IMG/right_2022_10_28_09_52_24_215.jpg, 0, 0.2832391, 0, 0.2083698
/Users/mac/Desktop/безіменна папка/IMG/center_2022_10_28_09_52_24_315.jpg, /Users/mac/Desktop/безіменна папка/IMG/left_2022_10_28_09_52_24_315.jpg, /Users/mac/Desktop/безіменна папка/IMG/right_2022_10_28_09_52_24_315.jpg, 0, 0.5778691, 0, 0.7077311
